Article_Code,Article_Name,Buyer_Reference,Article_Category
DIE0000001,DIE MOULD FOR ITEM QY3001 - HOOK AND EYES,,Miscellaneous
DIE0000002,DIE MOULD FOR SNAP 55014,,Miscellaneous
DIE0000003,DIE MOULD FOR RIVET OF ZIPPER PULLER 65021,,Miscellaneous
DIE0000004,DIE MOULD FOR SNAP 55009 SW35,,Miscellaneous
DIE0000005,DIE MOULD FOR SNAP 55009 SK35,,Miscellaneous
DIE0000006,DIE MOULD FOR SNAP 50006 SW35,,Miscellaneous
DIE0000007,DIE MOULD FOR EYELET QQ02,,Miscellaneous
DIE0000008,DIE MOULD FOR SNAP BUTTON SAB-ROH-MTL02,,Miscellaneous
DIE0000009,DIE MOULD FOR SNAP BUTTON SAB-ROH-MTL06,,Miscellaneous
DIE0000010,DIE MOULD FOR RIVET SAB-ROH-MTL07,,Miscellaneous
DIE0000011,DIE MOULD FOR JEAN BUTTON SAB-ROH-MTL06,,Miscellaneous
DIE0000012,PECS-100x224 (PRINTING MOULD),,Miscellaneous
DIE0000013,MOULD FOR ZIP BAG,,Miscellaneous
DIE0000014,DIE MOULD FOR REV036,,Miscellaneous
DIE0000015,EYELET REV018,,Miscellaneous
DIE0000016,EYELET REV020,,Miscellaneous
DIE0000017,EYELET REV030,,Miscellaneous
DIE0000018,DIE MOULD FOR 0050031AA-S PLASTIC SNAP BUTTON,,Miscellaneous
DIE0000019,DIE MOULD FOR ZPHP9MMSP-22 HYPALON ZIPPER PULLER,,Miscellaneous
DIE0000020,DIE MOULD FOR JLPB14MMFH-21 SNAP BUTTON,,Miscellaneous
DIE0000021,WASHER FOR REV036,,Miscellaneous
DIE0000022,DIE MOULD FOR REV018,,Miscellaneous
DIE0000023,DIE MOULD FOR REV036,,Miscellaneous
DIE0000024,STICKER FOR REVOLUTION CARTON,,Miscellaneous
DIE0000025,DIE MOULD FOR JLMB19-20+RUBB RIVET,,Miscellaneous
DIE0000026,DIE MOULD FOR ITEM FASWW0077MB885 18L PLASTIC PRESS BUTTON,,Miscellaneous
DIE0000027,DIE MOULD FOR REV086,,Miscellaneous
DIE0000028,DIE MOULD FOR SAB PLASTIC BUTTON ITEM FASWW0001MB558MC558MD00,,Miscellaneous
DIE0000029,DIE MOULD FOR REV094,,Miscellaneous
